Label,Split,Jumlah
ba,train,151
ca,train,147
da,train,147
dha,train,146
ga,train,147
ha,train,142
ja,train,147
ka,train,147
la,train,147
ma,train,147
na,train,147
nga,train,143
nya,train,147
pa,train,146
ra,train,144
sa,train,147
ta,train,145
tha,train,146
wa,train,147
ya,train,147
ba,val,32
ca,val,31
da,val,31
dha,val,31
ga,val,31
ha,val,30
ja,val,31
ka,val,31
la,val,31
ma,val,31
na,val,31
nga,val,30
nya,val,31
pa,val,31
ra,val,31
sa,val,31
ta,val,31
tha,val,31
wa,val,31
ya,val,31
ba,test,34
ca,test,33
da,test,33
dha,test,32
ga,test,32
ha,test,32
ja,test,32
ka,test,33
la,test,32
ma,test,33
na,test,33
nga,test,32
nya,test,32
pa,test,32
ra,test,32
sa,test,33
ta,test,32
tha,test,32
wa,test,33
ya,test,33
