class,precision,recall,f1-score,support,avg_brightness,std_brightness,avg_contrast,std_contrast,n_gambar
na,0.82,0.85,0.84,33,245.51102506847374,12.560612687822658,38.03924240183587,18.72314285457155,147
ka,0.8,0.97,0.88,33,243.42334431864802,13.005523889286057,42.32241902008873,20.1855476305487,147
dha,0.96,0.84,0.9,32,244.66481862749106,13.918457799879208,38.56045985977219,19.007520350004338,146
ha,0.97,0.91,0.94,32,245.0374042747318,10.996845219947458,38.53870823698691,18.699912269501997,142
la,0.94,0.94,0.94,32,244.0001171999952,11.110672796632494,40.802045371782334,19.952443730542708,147
sa,0.94,0.94,0.94,33,245.89984602147126,8.703796094691059,37.98393562418981,18.833539791843624,147
wa,0.97,0.91,0.94,33,246.18392407004785,8.459831551364726,37.55936486188521,18.201948779245075,147
nga,0.97,0.94,0.95,32,246.76325095433677,10.390845897334588,34.783696645804824,17.018379942136153,143
ta,0.97,0.94,0.95,32,244.4449790830504,9.13241367886176,41.194984927041865,19.308047620126523,145
ga,0.97,0.94,0.95,32,247.652794141815,7.939857113819043,34.45730655788144,16.043164735702536,147
ba,0.92,1.0,0.96,34,245.61662154983662,6.226857346814186,40.22807249490195,18.55270142930431,151
pa,0.97,0.97,0.97,32,246.20364225238194,10.465283097948026,35.77577294928433,18.28986196990812,146
ra,0.97,0.97,0.97,32,249.90555394698777,7.4229581154581465,28.318440655536314,13.355692468095548,144
nya,0.97,0.97,0.97,32,243.2096722861792,9.67276341947535,43.65042913279924,20.160980654622346,147
ca,0.97,0.97,0.97,33,245.54768123585222,8.81125204110478,38.781830231262035,18.881954415869338,147
da,0.97,0.97,0.97,33,245.22824579609588,10.642110427426985,38.26688369900194,18.82630715761407,147
tha,1.0,0.94,0.97,32,245.68802684134405,8.561640398749343,38.80200938346651,18.41001957622453,146
ya,0.94,1.0,0.97,33,244.18510532133416,9.635788626971337,41.0384975262352,20.81894872567004,147
ja,1.0,0.97,0.98,32,245.2775851602812,10.6591690777415,38.21716352159257,18.748368827954504,147
ma,0.97,1.0,0.99,33,245.60836464240253,8.845862910154489,38.29758702670072,19.171573938861346,147
