epoch,accuracy,loss,val_accuracy,val_loss
1,0.6666,1.859,0.7754,1.6244
2,0.6727,1.7392,0.79,1.4795
3,0.6693,1.6954,0.7964,1.4223
4,0.6761,1.6661,0.8207,1.3627
5,0.6707,1.656,0.7835,1.4059
6,0.6754,1.6487,0.8126,1.3546
7,0.6758,1.6444,0.7787,1.408
8,0.6853,1.6146,0.7884,1.3551
9,0.6877,1.62,0.7496,1.4742
10,0.6877,1.6178,0.8126,1.3133
11,0.6884,1.6067,0.8223,1.2732
12,0.6922,1.6016,0.8126,1.3007
13,0.6994,1.5956,0.8174,1.3086
14,0.7,1.5638,0.8417,1.2512
15,0.7017,1.5699,0.8207,1.2501
16,0.6905,1.5687,0.832,1.2351
17,0.7069,1.5512,0.8174,1.2374
18,0.7024,1.5599,0.8223,1.2433
19,0.6997,1.5671,0.8401,1.2117
20,0.7072,1.5315,0.8223,1.2283
21,0.7035,1.5497,0.832,1.1988
22,0.7065,1.5366,0.8288,1.2176
23,0.7161,1.5152,0.8562,1.1758
24,0.7113,1.5192,0.853,1.1839
25,0.7246,1.5147,0.8433,1.1935
26,0.7127,1.5246,0.8449,1.1809
27,0.714,1.5124,0.8595,1.1562
28,0.7181,1.5037,0.8595,1.1779
29,0.7188,1.4956,0.8498,1.1513
30,0.7212,1.5029,0.8498,1.1417
31,0.7291,1.481,0.8514,1.1416
32,0.7185,1.4975,0.8627,1.1403
33,0.7219,1.4877,0.8627,1.1282
34,0.7321,1.4821,0.8578,1.1223
35,0.7362,1.4753,0.8595,1.1334
36,0.7407,1.4741,0.8675,1.1122
37,0.7311,1.4711,0.8708,1.114
38,0.7516,1.4456,0.8627,1.1213
39,0.7417,1.4495,0.8675,1.0963
40,0.7417,1.462,0.8756,1.0978
41,0.7403,1.4591,0.8756,1.1544
42,0.7444,1.4413,0.8708,1.1188
43,0.7421,1.4462,0.8659,1.1045
44,0.7243,1.46,0.8691,1.0979
45,0.7537,1.4315,0.8724,1.0853
46,0.7417,1.4221,0.874,1.096
47,0.7578,1.4124,0.8788,1.0813
48,0.7526,1.4311,0.8659,1.0892
